target_VA,VCO2,C_rs,R_aw,L_ETT,L_TRACH,dL_device,window_Cmax_low,window_Cmax_high,window_width,overlaps_observed_MIP
6.47,308,0.0277064220183486,10,14.1180123963793,12.8878018396577,1.23021055672151,36.3036671539655,39.7690490038852,3.46538184991976,1
6.47,308,0.0280733944954128,10,14.0105730065934,12.7833112011163,1.22726180547708,36.0093273270883,39.4664028354744,3.45707550838615,1
6.47,308,0.0284403669724771,10,13.9059062462214,12.6815170951824,1.22438915103897,35.7225833667111,39.1715668907645,3.44898352405343,1
6.47,308,0.0288073394495413,10,13.8039061549035,12.5823164696545,1.22158968524895,35.4431449849423,38.8842426898689,3.44109770492663,1
6.47,308,0.0291743119266055,10,13.7044721036187,12.4856114573474,1.21886064627127,35.1707364995702,38.6041467707568,3.43341027118667,1
6.47,308,0.0295412844036697,10,13.6075084635459,12.3913090540417,1.2161994095042,34.9050959268781,38.3310097564674,3.42591382958931,1
6.47,308,0.0299082568807339,10,13.5129242993032,12.2993208201423,1.21360347916088,34.6459741412459,38.0645754909949,3.41860134974895,1
6.47,308,0.0302752293577982,10,13.4206330844966,12.2095626040344,1.21107048046223,34.3931340958716,37.8046002380187,3.41146614214713,1
6.47,308,0.0306422018348624,10,13.3305524377094,12.1219542853183,1.2085981523911,34.1463500994882,37.5508519372096,3.40450183772141,1
6.47,308,0.0310091743119266,10,13.2426038772367,12.0364195362759,1.20618434096071,33.9054071444393,37.3031095133427,3.39770236890341,1
6.47,308,0.0313761467889908,10,13.1567125930323,11.9528856000767,1.20382699295559,33.6701002819062,37.0611622338937,3.39106195198757,1
6.47,308,0.031743119266055,10,13.0728072344743,11.8712830843676,1.20152415010666,33.4402340404721,36.8248091111951,3.38457507072297,1
6.47,308,0.0321100917431193,10,12.9908197126833,11.7915457690176,1.1992739436657,33.2156218845565,36.5938583455866,3.37823646103013,1
6.47,308,0.0324770642201835,10,12.9106850162435,11.7136104268958,1.1970745893477,32.9960857095656,36.3681268063197,3.37204109675408,1
6.47,308,0.0328440366972477,10,12.8323410392772,11.637416656665,1.19492438261222,32.7814553708873,36.1474395472598,3.36598417637245,1
6.47,308,0.0332110091743119,10,12.7557284209179,11.5629067266603,1.19282169425765,32.5715682441135,35.9316293546984,3.36006111058492,1
6.47,308,0.0335779816513761,10,12.6807903953097,11.4900254290054,1.19076496630426,32.3662688140998,35.720536324816,3.35426751071623,1
6.47,308,0.0339449541284404,10,12.6074726513362,11.4187199431917,1.18875270814446,32.165408290681,35.5140074685527,3.34859917787173,1
6.47,308,0.0343119266055046,10,12.5357232013515,11.3489397084115,1.18678349293995,31.9688442490465,35.3118963418351,3.3430520927886,1
6.47,308,0.0346788990825688,10,12.4654922582447,11.280636303997,1.18485595424771,31.7764402929493,35.1140626992808,3.33762240633156,1
6.47,308,0.035045871559633,10,12.3967321202292,11.2137633373713,1.18296878285792,31.588065739074,34.9203721696597,3.33230643058568,1
6.47,308,0.0354128440366972,10,12.3293970627943,11.1482763389658,1.18112072382854,31.4035953210303,34.7306959515332,3.32710063050293,1
6.47,308,0.0357798165137615,10,12.2634432373068,11.0841326636045,1.17931057370233,31.2229089115619,34.5449105276247,3.32200161606289,1
6.47,308,0.0361467889908257,10,12.1988285757886,11.0212913978952,1.1775371778934,31.0458912616765,34.3628973965875,3.31700613491098,1
6.47,308,0.0365137614678899,10,12.1355127014366,10.9597132732052,1.17579942823138,30.8724317555075,34.184542820948,3.31211106544051,1
6.47,308,0.0368807339449541,10,12.0734568444846,10.8993605838324,1.17409626065219,30.7024241798095,34.0097375900974,3.30731341028786,1
6.47,308,0.0372477064220183,10,12.012623763039,10.8401971100137,1.1724266530253,30.5357665070809,33.8383767972931,3.30261029021212,1
6.47,308,0.0376146788990826,10,11.9529776685485,10.7821880454403,1.17078962310821,30.3723606913812,33.6703596297142,3.29799893833297,1
6.47,308,0.0379816513761468,10,11.8944841555941,10.7252999289746,1.16918422661946,30.2121124759849,33.5055891706876,3.2934766947027,1
6.47,308,0.038348623853211,10,11.8371101357105,10.6695005802882,1.16760955542236,30.0549312120793,33.3439722132691,3.28904100118975,1
6.47,308,0.0387155963302752,10,11.7808237749717,10.6147590391597,1.16606473581194,29.9007296877739,33.1854190844273,3.28468939665335,1
6.47,308,0.0390825688073394,10,11.7255944350918,10.5610455081934,1.16454892689843,29.7494239667419,33.0298434791318,3.28041951238994,1
6.47,308,0.0394495412844037,10,11.6713926178143,10.5083312987333,1.16306131908098,29.6009332358685,32.8771623037023,3.27622906783374,1
6.47,308,0.0398165137614679,10,11.618189912376,10.4565887797703,1.16160113260579,29.4551796613247,32.7272955278198,3.27211586649518,1
6.47,308,0.0401834862385321,10,11.5659589458499,10.4057913296467,1.16016761620321,29.3120882525259,32.5801660446476,3.26807779212171,1
6.47,308,0.0405504587155963,10,11.5146733361839,10.3559132903851,1.15876004579886,29.1715867334791,32.4356995385463,3.26411280506721,1
6.47,308,0.0409174311926605,10,11.4643076477676,10.3069299244735,1.15737772329414,29.033605421052,32.2938243599088,3.26021893885674,1
6.47,308,0.0412844036697248,10,11.4148373493676,10.2588173739558,1.15601997541173,28.8980771097347,32.1544714066692,3.25639429693445,1
6.47,308,0.041651376146789,10,11.3662387742873,10.2115526216852,1.15468615260214,28.7649369624936,32.017574012077,3.25263704958348,1
6.47,308,0.0420183486238532,10,11.3184890826146,10.1651134546071,1.15337562800756,28.6341224073439,31.8830678383511,3.2489454310072,1
6.47,308,0.0423853211009174,10,11.2715662254298,10.1194784289502,1.15208779647955,28.5055730392964,31.7508907758585,3.24531773656211,1
6.47,308,0.0427522935779816,10,11.2254489108575,10.0746268372102,1.1508220736473,28.3792305273527,31.620982847486,3.24175232013325,1
6.47,308,0.0431192660550459,10,11.1801165718525,10.030538676819,1.14957789503348,28.2550385262507,31.4932861178943,3.23824759164361,1
6.47,308,0.0434862385321101,10,11.1355493356154,9.98719462040059,1.14835471521482,28.1329425926777,31.3677446073674,3.23480201468964,1
6.47,308,0.0438532110091743,10,11.0917279945455,9.94457598752059,1.14715200702493,28.0128901056918,31.2443042099874,3.23141410429559,1
6.47,308,0.0442201834862385,10,11.0486339786386,9.90266471784191,1.1459692607967,27.894830191104,31.1229126158834,3.22808242477943,1
6.47,308,0.0445871559633027,10,11.0062493292487,9.8614433456065,1.14480598364218,27.7787136495958,31.0035192373202,3.22480558772446,1
6.47,308,0.044954128440367,10,10.9645566741345,9.82089497536677,1.14366169876774,27.6644928883571,30.8860751384071,3.22158225004997,1
6.47,308,0.0453211009174312,10,10.9235392037185,9.78100325889611,1.14253594482244,27.5521218560454,30.7705329682212,3.21841111217588,1
